"";economia_18
"AF";"10768"
"AX";"99999999999998"
"AL";"12881"
"DZ";"171001"
"AS";"99999999999998"
"AD";"4008"
"AO";"88539"
"AI";"354"
"AQ";"99999999999998"
"AG";"1360"
"AR";"365644"
"AM";"12437"
"AW";"2745"
"AU";"1056285"
"AT";"430310"
"AZ";"48851"
"BS";"10526"
"BH";"25711"
"BD";"91647"
"BB";"4642"
"BY";"62965"
"BE";"518645"
"BZ";"1369"
"BJ";"7133"
"BM";"6179"
"BT";"1258"
"BO";"16674"
"BQ";"99999999999998"
"BA";"19113"
"BW";"10945"
"BV";"99999999999998"
"BR";"1695855"
"IO";"99999999999998"
"BN";"15949"
"BG";"54413"
"BF";"8370"
"BI";"1612"
"CV";"1789"
"KH";"10352"
"CM";"26410"
"CA";"1549073"
"KY";"3548"
"CF";"2033"
"TD";"10371"
"CL";"179638"
"CN";"4604285"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"243982"
"KM";"1072"
"CD";"19789"
"CG";"10176"
"CK";"233"
"CR";"30613"
"CI";"24225"
"HR";"70452"
"CU";"60806"
"CW";"2833"
"CY";"27840"
"CZ";"235205"
"DK";"353359"
"DJ";"976"
"DM";"469"
"DO";"47658"
"EC";"61763"
"EG";"164844"
"SV";"21431"
"GQ";"19750"
"ER";"1380"
"EE";"24166"
"ET";"25609"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"3523"
"FI";"283753"
"FR";"2923574"
"GF";"99999999999998"
"PF";"7108"
"TF";"99999999999998"
"GA";"15509"
"GM";"966"
"GE";"12795"
"DE";"3752505"
"GH";"28528"
"GI";"99999999999998"
"GR";"354474"
"GL";"2311"
"GD";"826"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"39136"
"GG";"99999999999998"
"GN";"6964"
"GW";"865"
"GY";"1923"
"HT";"6408"
"HM";"99999999999998"
"VA";"99999999999998"
"HN";"13882"
"HK";"219279"
"HU";"157998"
"IS";"17658"
"IN";"1254803"
"ID";"543254"
"IR";"412336"
"IQ";"102850"
"IE";"275030"
"IM";"99999999999998"
"IL";"215839"
"IT";"2390818"
"JM";"13709"
"JP";"5037909"
"JE";"99999999999998"
"JO";"21973"
"KZ";"133442"
"KE";"35897"
"KI";"139"
"KP";"13337"
"KR";"1002219"
"KW";"147380"
"KG";"5140"
"LA";"5732"
"LV";"35594"
"LB";"29228"
"LS";"1869"
"LR";"1101"
"LY";"95327"
"LI";"5620"
"LT";"47896"
"LU";"55852"
"MO";"20917"
"MK";"9910"
"MG";"11262"
"MW";"5321"
"MY";"230812"
"MV";"2272"
"ML";"9751"
"MT";"8977"
"MH";"153"
"MQ";"99999999999998"
"MR";"4031"
"MU";"9990"
"YT";"99999999999998"
"MX";"1109987"
"FM";"263"
"MD";"6055"
"MC";"6477"
"MN";"6520"
"ME";"4546"
"MS";"57"
"MA";"92507"
"MZ";"11495"
"MM";"25864"
"NA";"8487"
"NR";"42"
"NP";"11692"
"NL";"936263"
"NC";"9031"
"NZ";"133278"
"NI";"8497"
"NE";"5403"
"NG";"334581"
"NU";"99999999999998"
"NF";"99999999999998"
"MP";"99999999999998"
"NO";"462554"
"OM";"60905"
"PK";"151087"
"PW";"197"
"PS";"6674"
"PA";"24522"
"PG";"11549"
"PY";"18503"
"PE";"120612"
"PH";"174195"
"PN";"99999999999998"
"PL";"533807"
"PT";"262017"
"PR";"93639"
"QA";"113892"
"RE";"99999999999998"
"RO";"208185"
"RU";"1660848"
"RW";"4861"
"BL";"99999999999998"
"SH";"99999999999998"
"KN";"739"
"LC";"1171"
"MF";"99999999999998"
"PM";"99999999999998"
"VC";"695"
"WS";"657"
"SM";"2752"
"ST";"188"
"SA";"519797"
"SN";"13386"
"RS";"49259"
"SC";"967"
"SL";"2505"
"SG";"192231"
"SX";"855"
"SK";"96594"
"SI";"55592"
"SB";"637"
"SO";"2600"
"ZA";"286769"
"GS";"99999999999998"
"SS";"15300"
"ES";"1635076"
"LK";"46595"
"SD";"48663"
"SR";"3533"
"SJ";"99999999999998"
"SZ";"3292"
"SE";"513966"
"CH";"554369"
"SY";"52558"
"TW";"99999999999998"
"TJ";"5161"
"TZ";"27388"
"TH";"291383"
"TL";"4492"
"TG";"3310"
"TK";"99999999999998"
"TO";"342"
"TT";"27870"
"TN";"44855"
"TR";"764323"
"TM";"21629"
"TC";"863"
"TV";"30"
"UG";"18195"
"UA";"188110"
"AE";"319597"
"GB";"2890744"
"UM";"99999999999998"
"US";"14718582"
"UY";"30366"
"UZ";"29654"
"VU";"608"
"VE";"315600"
"VN";"99130"
"VG";"972"
"VI";"99999999999998"
"WF";"99999999999998"
"EH";"99999999999998"
"YE";"30397"
"ZM";"17911"
"ZW";"5495"